# CREATED_DATE: 2023-04-20T10:56:12.704Z
# MODIFIED_DATE: 2023-11-25T05:01:47.306Z
# STATUS: Following
# OBS_GROUP: PSST
# NON_DETECT_BAND: ACAM1 - cyan
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: PSO J212600.455-034820.602; (21:26:00.46, -03:48:20.87)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2023gft
# RA: 321.5055315240771
# DEC: -3.798211389975169
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2023-06-17T00:00:00Z
# REDSHIFT: 0.0098
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2023-04-17T10:00:46Z
# NON_DETECT_LIMIT: 18.85
# MW_EBV: 0.053
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: PS23eja/60112/1212601320034753600_60112.591_127175688_24_target.jpeg
# POSTAGE_STAMP_REF: PS23eja/60112/1212601320034753600_60112.591_127175688_24_ref.jpeg
# POSTAGE_STAMP_DIFF: PS23eja/60112/1212601320034753600_60112.591_127175688_24_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: PS23eja/60112/1212601320034753600_60112.591_127175688_24_target.fits
# POSTAGE_STAMP_REF_FITS: PS23eja/60112/1212601320034753600_60112.591_127175688_24_ref.fits
# POSTAGE_STAMP_DIFF_FITS: PS23eja/60112/1212601320034753600_60112.591_127175688_24_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: GOOD
# SLUG: 2023gft
# REAL_BOGUS_SCORE: None
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [30, 32, 90]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      60183.402  g-ZTF  6376.173  351.127  17.989  0.060  None  P48  ZTF-Cam  None
OBS:      60185.222  r-ZTF  4246.194  331.729  18.430  0.085  None  P48  ZTF-Cam  None
OBS:      60185.427  g-ZTF  6051.484  460.633  18.045  0.083  None  P48  ZTF-Cam  None
OBS:      60193.273  r-ZTF  3543.095  254.005  18.627  0.078  None  P48  ZTF-Cam  None
OBS:      60193.332  g-ZTF  5254.076  292.929  18.199  0.061  None  P48  ZTF-Cam  None
OBS:      60195.317  g-ZTF  5169.597  358.361  18.216  0.075  None  P48  ZTF-Cam  None
OBS:      60198.253  r-ZTF  3226.116  241.453  18.728  0.081  None  P48  ZTF-Cam  None
OBS:      60198.352  g-ZTF  5100.498  369.267  18.231  0.079  None  P48  ZTF-Cam  None
OBS:      60201.230  g-ZTF  4870.796  335.310  18.281  0.075  None  P48  ZTF-Cam  None
OBS:      60201.255  r-ZTF  2913.904  203.424  18.839  0.076  None  P48  ZTF-Cam  None
OBS:      60203.250  r-ZTF  2760.983  199.455  18.897  0.078  None  P48  ZTF-Cam  None
OBS:      60203.254  g-ZTF  4892.252  303.434  18.276  0.067  None  P48  ZTF-Cam  None
OBS:      60205.257  g-ZTF  4529.395  271.342  18.360  0.065  None  P48  ZTF-Cam  None
OBS:      60205.300  r-ZTF  2667.104  231.045  18.935  0.094  None  P48  ZTF-Cam  None
OBS:      60207.232  g-ZTF  4474.658  309.354  18.373  0.075  None  P48  ZTF-Cam  None
OBS:      60207.297  r-ZTF  2291.970  233.015  19.099  0.110  None  P48  ZTF-Cam  None
OBS:      60211.200  r-ZTF  2521.392  237.010  18.996  0.102  None  P48  ZTF-Cam  None
OBS:      60211.240  g-ZTF  4236.322  284.242  18.433  0.073  None  P48  ZTF-Cam  None
OBS:      60214.260  g-ZTF  3960.195  405.584  18.506  0.111  None  P48  ZTF-Cam  None
OBS:      60220.291  g-ZTF  3853.362  407.711  18.535  0.115  None  P48  ZTF-Cam  None
OBS:      60220.296  r-ZTF  1805.388  259.168  19.359  0.156  None  P48  ZTF-Cam  None
