SNID: 2015F
SURVEY: UVEXT
SNTYPE: 1
IAUC: 2015F
FILTERS: ugriBomn
RA:   114.065670 deg
DECL:   -69.506390 deg 
RA_HOST:   114.099330
DEC_HOST:   -69.530830
REDSHIFT_HELIO: 0.00489 +- 1.8e-05 
REDSHIFT_CMB: 0.005286 +- 1.8e-05 
VPEC: 80.5777 +- 250.0

MWEBV: 0.174900  MW E(B-V)
SEARCH_PEAKMJD: 57105.1
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  294
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 57141.560  CSP-g/A  NULL    44791.9531      371.2926      15.872   0.009
OBS: 57143.560  CSP-g/A  NULL    41304.7502      266.3004      15.960   0.007
OBS: 57146.580  CSP-g/A  NULL    38053.9725      350.4885      16.049   0.010
OBS: 57148.540  CSP-g/A  NULL    36074.4734      232.5797      16.107   0.007
OBS: 57152.550  CSP-g/A  NULL    33697.6799      217.2560      16.181   0.007
OBS: 57154.530  CSP-g/A  NULL    32270.0769      237.7737      16.228   0.008
OBS: 57157.530  CSP-g/A  NULL    30902.9543      313.0880      16.275   0.011
OBS: 57159.540  CSP-g/A  NULL    29675.6336      245.9893      16.319   0.009
OBS: 57161.560  CSP-g/A  NULL    28681.3771      237.7477      16.356   0.009
OBS: 57163.530  CSP-g/A  NULL    27771.5424      230.2058      16.391   0.009
OBS: 57176.450  CSP-g/A  NULL    23485.5102      281.2012      16.573   0.013
OBS: 57178.450  CSP-g/A  NULL    22573.5571      187.1183      16.616   0.009
OBS: 57180.470  CSP-g/A  NULL    21458.5316      197.6395      16.671   0.010
OBS: 57182.470  CSP-g/A  NULL    21105.7116      194.3899      16.689   0.010
OBS: 57092.560  CSP-i/C  NULL    24389.3373      269.5597      16.532   0.012
OBS: 57093.560  CSP-i/C  NULL    43933.9246      323.7157      15.893   0.008
OBS: 57094.530  CSP-i/C  NULL    69310.6545      510.6975      15.398   0.008
OBS: 57095.580  CSP-i/C  NULL   103561.8977  1239.9870      14.962   0.013
OBS: 57096.530  CSP-i/C  NULL   141905.7522  1568.3935      14.620   0.012
OBS: 57097.610  CSP-i/C  NULL   183315.8429  2026.0727      14.342   0.012
OBS: 57098.560  CSP-i/C  NULL   228244.3312  1681.7590      14.104   0.008
OBS: 57099.540  CSP-i/C  NULL   267670.1856  2958.3873      13.931   0.012
OBS: 57100.560  CSP-i/C  NULL   300884.6277  2216.9901      13.804   0.008
OBS: 57101.550  CSP-i/C  NULL   336976.7986  1551.8287      13.681   0.005
OBS: 57102.550  CSP-i/C  NULL   360744.7339  1661.2836      13.607   0.005
OBS: 57103.660  CSP-i/C  NULL   370168.9610  1704.6836      13.579   0.005
OBS: 57104.580  CSP-i/C  NULL   363078.0548  4012.8694      13.600   0.012
OBS: 57110.500  CSP-i/C  NULL   315645.7891  2035.0347      13.752   0.007
OBS: 57111.540  CSP-i/C  NULL   311028.3669  3724.0639      13.768   0.013
OBS: 57112.520  CSP-i/C  NULL   301995.1720  1668.8797      13.800   0.006
OBS: 57113.480  CSP-i/C  NULL   284970.5627  1837.2651      13.863   0.007
OBS: 57117.490  CSP-i/C  NULL   229297.8592  1478.3315      14.099   0.007
OBS: 57118.510  CSP-i/C  NULL   221615.4326  1837.0302      14.136   0.009
OBS: 57119.490  CSP-i/C  NULL   216970.1554  1398.8522      14.159   0.007
OBS: 57120.500  CSP-i/C  NULL   217971.6441  1806.8258      14.154   0.009
OBS: 57121.500  CSP-i/C  NULL   223254.3862  1233.7439      14.128   0.006
OBS: 57122.500  CSP-i/C  NULL   225943.5770  1664.8065      14.115   0.008
OBS: 57123.510  CSP-i/C  NULL   229932.3087  2117.7455      14.096   0.010
OBS: 57125.550  CSP-i/C  NULL   240104.3344  1105.7165      14.049   0.005
OBS: 57127.480  CSP-i/C  NULL   239441.8173  1323.1986      14.052   0.006
OBS: 57129.570  CSP-i/C  NULL   231206.4790  1703.5848      14.090   0.008
OBS: 57130.600  CSP-i/C  NULL   225527.7567  2492.6140      14.117   0.012
OBS: 57131.600  CSP-i/C  NULL   224284.8816  1859.1579      14.123   0.009
OBS: 57134.510  CSP-i/C  NULL   207586.9270  955.9689      14.207   0.005
OBS: 57135.510  CSP-i/C  NULL   195884.4674  1984.5702      14.270   0.011
OBS: 57136.510  CSP-i/C  NULL   182641.7249  1345.7481      14.346   0.008
OBS: 57137.520  CSP-i/C  NULL   169511.8252  936.7529      14.427   0.006
OBS: 57138.550  CSP-i/C  NULL   158489.3192  729.8671      14.500   0.005
OBS: 57139.510  CSP-i/C  NULL   147231.2502  1084.8352      14.580   0.008
OBS: 57141.560  CSP-i/C  NULL   127291.6746  1289.6340      14.738   0.011
OBS: 57143.570  CSP-i/C  NULL   115771.0574  639.7717      14.841   0.006
OBS: 57146.580  CSP-i/C  NULL   100000.0000  644.7210      15.000   0.007
OBS: 57148.540  CSP-i/C  NULL    92129.7728      509.1257      15.089   0.006
OBS: 57152.550  CSP-i/C  NULL    79140.7205      583.1278      15.254   0.008
OBS: 57154.530  CSP-i/C  NULL    73046.5990      740.0592      15.341   0.011
OBS: 57157.530  CSP-i/C  NULL    63037.6479      754.7743      15.501   0.013
OBS: 57159.540  CSP-i/C  NULL    60255.9586      554.9755      15.550   0.010
OBS: 57161.560  CSP-i/C  NULL    56389.7280      519.3663      15.622   0.010
OBS: 57163.530  CSP-i/C  NULL    53161.8395      391.7092      15.686   0.008
OBS: 57176.450  CSP-i/C  NULL    35481.3389      424.8319      16.125   0.013
OBS: 57178.460  CSP-i/C  NULL    31710.2744      321.2673      16.247   0.011
OBS: 57180.480  CSP-i/C  NULL    31045.5959      314.5332      16.270   0.011
OBS: 57182.470  CSP-i/C  NULL    28313.9200      391.1695      16.370   0.015
OBS: 57092.550  CSP-r/L  NULL    33174.1650      305.5440      16.198   0.010
OBS: 57093.560  CSP-r/L  NULL    54600.9250      352.0236      15.657   0.007
OBS: 57094.530  CSP-r/L  NULL    82565.7633      608.3644      15.208   0.008
OBS: 57095.580  CSP-r/L  NULL   120115.7618  1106.3022      14.801   0.010
OBS: 57096.530  CSP-r/L  NULL   160250.7239  1475.9572      14.488   0.010
OBS: 57097.600  CSP-r/L  NULL   211641.0951  1754.3502      14.186   0.009
OBS: 57098.560  CSP-r/L  NULL   261577.2683  1927.3641      13.956   0.008
OBS: 57100.560  CSP-r/L  NULL   353834.3568  1955.3523      13.628   0.006
OBS: 57101.540  CSP-r/L  NULL   404017.3354  1860.5604      13.484   0.005
OBS: 57102.540  CSP-r/L  NULL   430130.2634  1980.8144      13.416   0.005
OBS: 57103.660  CSP-r/L  NULL   467735.1413  2153.9905      13.325   0.005
OBS: 57104.570  CSP-r/L  NULL   482169.7939  6217.2998      13.292   0.014
OBS: 57110.500  CSP-r/L  NULL   520954.7473  2399.0748      13.208   0.005
OBS: 57111.540  CSP-r/L  NULL   514280.4319  4736.6771      13.222   0.010
OBS: 57112.520  CSP-r/L  NULL   501187.2336  2308.0424      13.250   0.005
OBS: 57113.480  CSP-r/L  NULL   473369.2033  2615.9234      13.312   0.006
OBS: 57117.490  CSP-r/L  NULL   378791.3038  2093.2689      13.554   0.006
OBS: 57119.480  CSP-r/L  NULL   340094.8065  2192.6626      13.671   0.007
OBS: 57120.500  CSP-r/L  NULL   325686.6822  2999.6720      13.718   0.010
OBS: 57121.500  CSP-r/L  NULL   311314.9665  1433.6521      13.767   0.005
OBS: 57122.500  CSP-r/L  NULL   301717.1523  2223.1244      13.801   0.008
OBS: 57123.510  CSP-r/L  NULL   299778.1672  1656.6281      13.808   0.006
OBS: 57125.550  CSP-r/L  NULL   287607.3629  1324.4750      13.853   0.005
OBS: 57126.570  CSP-r/L  NULL   279511.7054  1287.1933      13.884   0.005
OBS: 57127.480  CSP-r/L  NULL   271393.8488  1249.8094      13.916   0.005
OBS: 57129.570  CSP-r/L  NULL   252115.7631  1393.2371      13.996   0.006
OBS: 57130.590  CSP-r/L  NULL   240325.5805  1992.1236      14.048   0.009
OBS: 57131.600  CSP-r/L  NULL   230356.2500  1909.4852      14.094   0.009
OBS: 57134.510  CSP-r/L  NULL   196064.9667  1083.4903      14.269   0.006
OBS: 57135.510  CSP-r/L  NULL   181635.1931  1338.3317      14.352   0.008
OBS: 57136.510  CSP-r/L  NULL   168112.4974  1238.6932      14.436   0.008
OBS: 57137.510  CSP-r/L  NULL   157325.8185  869.4108      14.508   0.006
OBS: 57138.550  CSP-r/L  NULL   145344.9678  669.3354      14.594   0.005
OBS: 57139.510  CSP-r/L  NULL   136521.1695  880.1806      14.662   0.007
OBS: 57141.560  CSP-r/L  NULL   121227.1793  1004.8848      14.791   0.009
OBS: 57143.560  CSP-r/L  NULL   110968.5727  511.0269      14.887   0.005
OBS: 57146.580  CSP-r/L  NULL    97994.1161      541.5331      15.022   0.006
OBS: 57148.540  CSP-r/L  NULL    92640.3101      511.9470      15.083   0.006
OBS: 57152.550  CSP-r/L  NULL    81208.2216      448.7713      15.226   0.006
OBS: 57154.530  CSP-r/L  NULL    75370.2577      624.7644      15.307   0.009
OBS: 57157.530  CSP-r/L  NULL    70859.8127      652.6401      15.374   0.010
OBS: 57159.540  CSP-r/L  NULL    65282.9844      481.0207      15.463   0.008
OBS: 57161.560  CSP-r/L  NULL    59703.5287      494.8987      15.560   0.009
OBS: 57163.530  CSP-r/L  NULL    58076.4418      374.4310      15.590   0.007
OBS: 57176.450  CSP-r/L  NULL    39957.6557      404.8242      15.996   0.011
OBS: 57178.450  CSP-r/L  NULL    37016.8961      306.8430      16.079   0.009
OBS: 57180.470  CSP-r/L  NULL    34769.6245      288.2148      16.147   0.009
OBS: 57182.470  CSP-r/L  NULL    32718.9984      361.6221      16.213   0.012
OBS: 57092.560  CSP-u/t  NULL    4504.0168      116.1534      18.366   0.028
OBS: 57093.570  CSP-u/t  NULL    10744.8412      128.6522      17.422   0.013
OBS: 57094.530  CSP-u/t  NULL    21340.2744      216.2054      16.677   0.011
OBS: 57095.590  CSP-u/t  NULL    39084.0896      395.9738      16.020   0.011
OBS: 57096.530  CSP-u/t  NULL    61830.1073      569.4738      15.522   0.010
OBS: 57097.610  CSP-u/t  NULL    92640.3101      682.5960      15.083   0.008
OBS: 57098.560  CSP-u/t  NULL   123140.2412  907.3269      14.774   0.008
OBS: 57099.540  CSP-u/t  NULL   151495.5932  1255.7879      14.549   0.009
OBS: 57100.560  CSP-u/t  NULL   179638.7399  992.7160      14.364   0.006
OBS: 57101.550  CSP-u/t  NULL   202861.6717  934.2084      14.232   0.005
OBS: 57102.560  CSP-u/t  NULL   219785.9873  1012.1474      14.145   0.005
OBS: 57103.660  CSP-u/t  NULL   233776.0412  1076.5737      14.078   0.005
OBS: 57104.580  CSP-u/t  NULL   235288.1202  1950.3668      14.071   0.009
OBS: 57110.510  CSP-u/t  NULL   177337.2625  1143.3306      14.378   0.007
OBS: 57111.530  CSP-u/t  NULL   157180.9828  1302.9156      14.509   0.009
OBS: 57112.530  CSP-u/t  NULL   142429.5165  1049.4549      14.616   0.008
OBS: 57113.490  CSP-u/t  NULL   127174.4886  1054.1837      14.739   0.009
OBS: 57117.500  CSP-u/t  NULL    75997.6214      629.9648      15.298   0.009
OBS: 57118.510  CSP-u/t  NULL    67173.8129      556.8219      15.432   0.009
OBS: 57119.490  CSP-u/t  NULL    56859.1025      523.6894      15.613   0.010
OBS: 57120.500  CSP-u/t  NULL    48083.9348      442.8675      15.795   0.010
OBS: 57121.500  CSP-u/t  NULL    41840.8020      346.8297      15.946   0.009
OBS: 57122.500  CSP-u/t  NULL    36307.8055      367.8464      16.100   0.011
OBS: 57123.510  CSP-u/t  NULL    31506.4883      261.1658      16.254   0.009
OBS: 57125.560  CSP-u/t  NULL    24774.2206      342.2670      16.515   0.015
OBS: 57126.570  CSP-u/t  NULL    21797.1644      240.9101      16.654   0.012
OBS: 57127.480  CSP-u/t  NULL    20118.7040      222.3592      16.741   0.012
OBS: 57129.570  CSP-u/t  NULL    17330.0574      223.4610      16.903   0.014
OBS: 57130.600  CSP-u/t  NULL    15878.1536      219.3638      16.998   0.015
OBS: 57131.600  CSP-u/t  NULL    14574.7126      214.7800      17.091   0.016
