VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59340.238 ZTF-r 415 16113.8754 207.7791 16.982 0.014 0x00
OBS: 59342.212 ZTF-g 415 7943.2823 168.2680 17.750 0.023 0x00
OBS: 59344.194 ZTF-r 415 13664.6968 163.6127 17.161 0.013 0x00
OBS: 59348.215 ZTF-g 415 8495.7163 164.3210 17.677 0.021 0x00
OBS: 59485.521 ZTF-r 415 2398.8329 605.3748 19.050 0.274 0x00
OBS: 59487.515 ZTF-r 415 988.0980 245.7183 20.013 0.270 0x00
OBS: 59509.483 ZTF-r 415 539.0139 176.7355 20.671 0.356 0x00
OBS: 59509.516 ZTF-g 415 824.8975 169.4254 20.209 0.223 0x00
OBS: 59517.496 ZTF-g 415 599.7911 93.9123 20.555 0.170 0x00
OBS: 59521.461 ZTF-r 415 596.4856 126.3577 20.561 0.230 0x00
OBS: 59523.502 ZTF-r 415 401.0514 90.1288 20.992 0.244 0x00
OBS: 59523.525 ZTF-g 415 969.1701 76.7666 20.034 0.086 0x00
OBS: 59525.482 ZTF-g 415 505.3590 66.0940 20.741 0.142 0x00
OBS: 59525.503 ZTF-r 415 657.6578 106.6072 20.455 0.176 0x00
OBS: 59526.630 PS1-r NULL 277.7154 86.4551 21.391 0.338 0x00
OBS: 59526.630 PS1-g NULL 764.8918 88.0610 20.291 0.125 0x00
OBS: 59527.482 ZTF-g 415 999.0794 77.2953 20.001 0.084 0x00
OBS: 59530.610 PS1-g NULL 805.3784 97.9147 20.235 0.132 0x00
OBS: 59532.441 ZTF-r 415 964.7172 123.5061 20.039 0.139 0x00
OBS: 59532.499 ZTF-g 415 1017.6537 74.0459 19.981 0.079 0x00
OBS: 59550.460 ZTF-g 415 616.0274 66.3834 20.526 0.117 0x00
END:# =============================================
# =============================================
NSPECTRA: 2

SPECTRUM_ID: 2
SPECTRUM_MJD: 59286.898702277496
SPECTRUM_NLAM: 5536
SPEC: 1677.772 1679.316 8.117521E-17 1.219515E-16 1
SPEC: 1679.316 1680.861 3.112603E-16 1.238472E-16 1
SPEC: 1680.861 1682.405 3.667067E-16 1.248860E-16 1
SPEC: 1682.405 1683.949 -5.052047E-17 1.089034E-16 1
SPEC: 1683.949 1685.493 -2.185775E-16 1.070686E-16 1
SPEC: 1685.493 1687.038 -2.818880E-16 1.007091E-16 1
SPEC: 1687.038 1688.582 3.189886E-16 1.178065E-16 1
SPEC: 1688.582 1690.126 3.463808E-16 1.115686E-16 1
SPEC: 1690.126 1691.671 1.176497E-16 1.079298E-16 1
SPEC: 1691.671 1693.215 1.071343E-16 1.065196E-16 1
SPEC: 1693.215 1694.759 2.322209E-17 1.012512E-16 1
SPEC: 1694.759 1696.303 1.336156E-16 1.041438E-16 1
SPEC: 1696.303 1697.848 1.142799E-16 1.014028E-16 1
SPEC: 1697.848 1699.392 -5.375037E-17 9.569449E-17 1
SPEC: 1699.392 1700.936 1.129412E-16 9.920345E-17 1
SPEC: 1700.936 1702.480 6.921588E-17 9.563293E-17 1
SPEC: 1702.480 1704.025 -7.267047E-17 9.164749E-17 1
SPEC: 1704.025 1705.569 1.769533E-18 9.236576E-17 1
SPEC: 1705.569 1707.113 -1.453377E-16 8.638373E-17 1
