SNID: 2023gft
# CREATED_DATE: 2023-04-20T10:56:12.704Z
# MODIFIED_DATE: 2023-11-25T05:01:47.306Z
# STATUS: Following
# OBS_GROUP: PSST
# NON_DETECT_BAND: ACAM1 - cyan
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: PSO J212600.455-034820.602; (21:26:00.46, -03:48:20.87)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: UVEXT
# NAME: 2023gft
# RA: 321.5055315240771
# DEC: -3.798211389975169
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2023-06-17T00:00:00Z
# REDSHIFT: 0.0098
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2023-04-17T10:00:46Z
# NON_DETECT_LIMIT: 18.85
# MW_EBV: 0.053
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: PS23eja/60112/1212601320034753600_60112.591_127175688_24_target.jpeg
# POSTAGE_STAMP_REF: PS23eja/60112/1212601320034753600_60112.591_127175688_24_ref.jpeg
# POSTAGE_STAMP_DIFF: PS23eja/60112/1212601320034753600_60112.591_127175688_24_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: PS23eja/60112/1212601320034753600_60112.591_127175688_24_target.fits
# POSTAGE_STAMP_REF_FITS: PS23eja/60112/1212601320034753600_60112.591_127175688_24_ref.fits
# POSTAGE_STAMP_DIFF_FITS: PS23eja/60112/1212601320034753600_60112.591_127175688_24_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: GOOD
# SLUG: 2023gft
# REAL_BOGUS_SCORE: None
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [30, 32, 90]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      60097.439  ZTF-g  32568.6682  1199.8688  16.218  0.040  None  P48  ZTF-Cam  None
OBS:      60099.414  ZTF-r  71121.3514  2030.6518  15.370  0.031  None  P48  ZTF-Cam  None
OBS:      60099.442  ZTF-g  28787.2381  1140.0981  16.352  0.043  None  P48  ZTF-Cam  None
OBS:      60101.415  ZTF-r  62921.6351  1738.5814  15.503  0.030  None  P48  ZTF-Cam  None
OBS:      60101.440  ZTF-g  24299.6490  805.7054  16.536  0.036  None  P48  ZTF-Cam  None
OBS:      60108.457  ZTF-r  40963.7776  1094.1372  15.969  0.029  None  P48  ZTF-Cam  None
OBS:      60111.369  ZTF-r  36341.2616  1305.3843  16.099  0.039  None  P48  ZTF-Cam  None
OBS:      60111.411  ZTF-g  16672.4721  644.9456  16.945  0.042  None  P48  ZTF-Cam  None
OBS:      60111.418  ZTF-g  16519.6180  669.4628  16.955  0.044  None  P48  ZTF-Cam  None
OBS:      60114.384  ZTF-r  32870.0224  877.9540  16.208  0.029  None  P48  ZTF-Cam  None
OBS:      60114.426  ZTF-g  15459.6622  455.6420  17.027  0.032  None  P48  ZTF-Cam  None
OBS:      60117.402  ZTF-r  29785.1643  960.1560  16.315  0.035  None  P48  ZTF-Cam  None
OBS:      60117.428  ZTF-g  15121.6785  654.5934  17.051  0.047  None  P48  ZTF-Cam  None
OBS:      60119.418  ZTF-g  14736.6918  651.5009  17.079  0.048  None  P48  ZTF-Cam  None
OBS:      60119.441  ZTF-r  28106.0620  906.0284  16.378  0.035  None  P48  ZTF-Cam  None
OBS:      60121.310  ZTF-r  26595.0003  930.8021  16.438  0.038  None  P48  ZTF-Cam  None
OBS:      60121.435  ZTF-g  13905.9288  563.5422  17.142  0.044  None  P48  ZTF-Cam  None
OBS:      60123.378  ZTF-g  13514.5005  535.2322  17.173  0.043  None  P48  ZTF-Cam  None
OBS:      60123.439  ZTF-r  24569.7083  678.8832  16.524  0.030  None  P48  ZTF-Cam  None
OBS:      60125.398  ZTF-g  13715.1323  783.1870  17.157  0.062  None  P48  ZTF-Cam  None
